81
3
8

-3, 0
-3, 1
-3, 2
-3, 3
-3, 4
-3, 5
-3, 6
-3, 7
-3, 8
-3, 9
-3, 10
-2, -2
-2, -1
-2, 0
-2, 1
-2, 10
-1, -2
-1, 1
-1, 3
-1, 4
-1, 5
-1, 6
-1, 10
0, -2
0, 1
0, 3
0, 4
0, 5
0, 6
0, 10
1, -6
1, -5
1, -4
1, -3
1, -2
1, -1
1, 1
1, 6
1, 10
2, -6
2, -1
2, 1
2, 3
2, 6
2, 10
3, -6
3, -5
3, -4
3, -3
3, -1
3, 3
3, 6
3, 10
4, -3
4, -1
4, 0
4, 1
4, 2
4, 3
4, 4
4, 5
4, 6
4, 10
5, -3
5, 10
6, -3
6, 10
7, -3
7, -2
7, -1
7, 0
7, 1
7, 2
7, 3
7, 4
7, 5
7, 6
7, 7
7, 8
7, 9
7, 10

-1, 0
2, 0
3, 0

3, 1
2, 4
-2, 3
-1, 7
2, 8
4, 7
6, 4
5, -1

2, -5
