192
8
13

-7, -8
-7, -7
-7, -6
-7, -5
-7, -4
-7, -3
-7, -2
-7, -1
-7, 0
-7, 1
-7, 2
-7, 3
-6, 3
-5, 3
-4, 3
-3, 3
-2, 3
-1, 3
0, 3
1, 3
2, 3
3, 3
3, 2
3, 1
3, 0
3, -1
3, -2
3, -3
3, -4
3, -5
3, -6
3, -7
3, -8
3, -9
3, -10
3, -11
3, -12
3, -13
3, -14
3, -15
3, -16
2, -16
1, -16
0, -16
-1, -16
-2, -16
-3, -16
-4, -16
-5, -16
-6, -16
-7, -16
-8, -16
-9, -16
-10, -16
-11, -16
-12, -16
-13, -16
-14, -16
-15, -16
-16, -16
-16, -15
-16, -14
-16, -13
-16, -12
-16, -11
-16, -10
-16, -9
-16, -8
-15, -8
-14, -8
-13, -8
-12, -8
-11, -8
-10, -8
-9, -8
-8, -8
-6, 2
-6, 1
-6, 0
-6, -1
-6, -2
-6, -3
-6, -4
-6, -5
-6, -6
-6, -7
-6, -8
-6, -9
-6, -10
-6, -11
-6, -13
-6, -14
-6, -15
-7, -9
-7, -10
-7, -11
-7, -13
-7, -14
-7, -15
-8, -9
-8, -10
-8, -14
-8, -15
-9, -9
-9, -15
-10, -9
-10, -15
-11, -9
-11, -15
-12, -9
-12, -15
-13, -9
-13, -10
-13, -14
-13, -15
-14, -9
-14, -10
-14, -11
-14, -13
-14, -14
-14, -15
-15, -9
-15, -10
-15, -11
-15, -12
-15, -13
-15, -14
-15, -15
-5, 2
-5, -7
-5, -8
-5, -13
-4, 2
-4, 0
-4, -1
-4, -2
-4, -3
-4, -7
-4, -8
-4, -11
-4, -12
-4, -13
-3, 2
-3, -2
-3, -3
-3, -7
-3, -8
-3, -11
-2, 2
-2, 1
-2, 0
-2, -2
-2, -3
-2, -7
-2, -8
-2, -11
-1, 2
-1, 1
-1, -2
-1, -3
-1, -7
-1, -8
-1, -11
0, 2
0, 1
0, -2
0, -3
0, -7
0, -8
0, -11
1, 2
1, 1
1, 0
1, -1
1, -2
1, -3
1, -10
1, -11
2, 2
2, 1
2, 0
2, -1
2, -2
2, -3
2, -4
2, -5
2, -6
2, -7
2, -8
2, -9
2, -10
2, -11

-2, -1
-5, 0
0, -4
-1, -6
-3, -5
1, -9
-4, -10
-6, -12

-3, 0
1
-5, -1
1
-4, -5
1
-1, -5
0
1, -8
1
-1, -10
0
-3, -9
0
-5, -10
1
-7, -12
0
-10, -12
1
-10, -14
0
-11, -11
1
-13, -12
1

-14, -12
